RecFib 1: 1 us, IterFib: 0 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 2: 0 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 0 us
RecFib 3: 0 us, IterFib: 0 us, RecCubes: 1 us, IterCubes: 0 us
RecFib 4: 0 us, IterFib: 0 us, RecCubes: 0 us, IterCubes: 1 us
RecFib 5: 1 us, IterFib: 0 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 6: 1 us, IterFib: 1 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 7: 0 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 0 us
RecFib 8: 0 us, IterFib: 0 us, RecCubes: 0 us, IterCubes: 1 us
RecFib 9: 1 us, IterFib: 0 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 10: 1 us, IterFib: 0 us, RecCubes: 0 us, IterCubes: 1 us
RecFib 11: 1 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 0 us
RecFib 12: 1 us, IterFib: 0 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 13: 2 us, IterFib: 1 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 14: 3 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 15: 4 us, IterFib: 0 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 16: 7 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 0 us
RecFib 17: 11 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 18: 17 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 19: 31 us, IterFib: 1 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 20: 56 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 21: 69 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 0 us
RecFib 22: 102 us, IterFib: 1 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 23: 164 us, IterFib: 0 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 24: 271 us, IterFib: 1 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 25: 463 us, IterFib: 1 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 26: 742 us, IterFib: 0 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 27: 1043 us, IterFib: 0 us, RecCubes: 0 us, IterCubes: 1 us
RecFib 28: 1723 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 0 us
RecFib 29: 2743 us, IterFib: 1 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 30: 4639 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 0 us
RecFib 31: 8117 us, IterFib: 0 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 32: 13643 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 33: 20311 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 34: 31692 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 35: 51820 us, IterFib: 0 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 36: 85313 us, IterFib: 4 us, RecCubes: 1 us, IterCubes: 0 us
RecFib 37: 136258 us, IterFib: 0 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 38: 221621 us, IterFib: 0 us, RecCubes: 1 us, IterCubes: 0 us
RecFib 39: 346620 us, IterFib: 0 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 40: 572641 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 41: 926751 us, IterFib: 0 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 42: 1481505 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 43: 2378685 us, IterFib: 0 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 44: 3895901 us, IterFib: 0 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 45: 6289254 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 46: 11033457 us, IterFib: 0 us, RecCubes: 0 us, IterCubes: 0 us
RecFib 47: 19148868 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 48: 30804835 us, IterFib: 0 us, RecCubes: 1 us, IterCubes: 0 us
RecFib 49: 43037640 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 1 us
RecFib 50: 69837092 us, IterFib: 1 us, RecCubes: 1 us, IterCubes: 0 us
